exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,USDT,1M-5M,100M-500M,BINANCE:BILLUSDT.P,BILL,106782201,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:BONKUSDT,BONK,380106570,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:BSVUSDT.P,BSV,286986452,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:BTWUSDT.P,BTW,144742430,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:BUSDT.P,B,170753500,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CAKEUSDT,CAKE,458974407,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CAKEUSDT.P,CAKE,458974407,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CFXUSDT.P,CFX,229372441,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CHZUSDT,CHZ,186546740,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CHZUSDT.P,CHZ,186546740,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:COMPUSDT.P,COMP,167912279,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CRVUSDT,CRV,319927602,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CRVUSDT.P,CRV,319927602,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:CVXUSDT.P,CVX,113740957,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:DASHUSDT,DASH,448394589,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:DASHUSDT.P,DASH,448394589,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:DYDXUSDT,DYDX,111324675,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:DYDXUSDT.P,DYDX,111324675,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:EDGEUSDT.P,EDGE,113415339,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:EIGENUSDT,EIGEN,167849087,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:EIGENUSDT.P,EIGEN,167849087,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:ENSUSDT,ENS,172578535,binance_USDT_pairs_07-jul-26.txt
